Source;Target;Type;Weight
1632.0;1;Directed;6
;2;Directed;8
;3;Directed;8
;4;Directed;8
;5;Directed;8
;6;Directed;8
895.0;7;Directed;4
895.0;8;Directed;4
1071.0;8;Directed;5
1361.0;9;Directed;4
2011.0;10;Directed;2
1361.0;11;Directed;4
895.0;12;Directed;4
1467.0;13;Directed;1
2011.0;13;Directed;1
895.0;14;Directed;4
895.0;15;Directed;4
895.0;16;Directed;4
1670.0;17;Directed;1
2080.0;17;Directed;1
895.0;18;Directed;4
;19;Directed;1
1128.0;19;Directed;2
2158.0;19;Directed;2
2013.0;20;Directed;4
1928.0;21;Directed;2
1601.0;22;Directed;1
1632.0;23;Directed;9
765.0;24;Directed;3
1632.0;24;Directed;13
1601.0;25;Directed;3
1452.0;26;Directed;3
1298.0;27;Directed;5
770.0;28;Directed;2
1582.0;28;Directed;2
1804.0;29;Directed;1
1930.0;29;Directed;5
1825.0;30;Directed;1
1557.0;31;Directed;5
1070.0;32;Directed;1
2158.0;33;Directed;1
666.0;34;Directed;5
902.0;34;Directed;1
1359.0;34;Directed;1
1564.0;35;Directed;1
895.0;36;Directed;4
1119.0;36;Directed;4
1601.0;36;Directed;5
1670.0;36;Directed;6
2011.0;36;Directed;1
895.0;37;Directed;4
895.0;38;Directed;7
1601.0;38;Directed;7
895.0;39;Directed;4
1361.0;40;Directed;4
895.0;41;Directed;4
1361.0;42;Directed;4
895.0;43;Directed;4
1119.0;44;Directed;1
895.0;45;Directed;4
895.0;46;Directed;4
1467.0;47;Directed;3
1601.0;47;Directed;2
895.0;48;Directed;4
895.0;49;Directed;4
895.0;50;Directed;4
1601.0;51;Directed;1
895.0;52;Directed;4
895.0;53;Directed;4
784.0;54;Directed;2
895.0;54;Directed;4
1071.0;54;Directed;2
2011.0;54;Directed;1
895.0;55;Directed;4
1071.0;56;Directed;1
1749.0;57;Directed;2
2013.0;58;Directed;2
1806.0;59;Directed;1
2013.0;60;Directed;2
764.0;61;Directed;3
;61;Directed;1
;61;Directed;1
;62;Directed;9
;62;Directed;1
;63;Directed;3
1601.0;64;Directed;1
884.0;65;Directed;1
1601.0;65;Directed;5
1746.0;65;Directed;1
1601.0;66;Directed;5
867.0;67;Directed;1
1298.0;68;Directed;5
1571.0;69;Directed;2
765.0;70;Directed;7
1632.0;70;Directed;19
1571.0;71;Directed;6
;72;Directed;1
1944.0;72;Directed;1
895.0;73;Directed;1
895.0;74;Directed;4
2011.0;75;Directed;2
895.0;76;Directed;4
1467.0;76;Directed;2
895.0;77;Directed;4
1467.0;78;Directed;6
2013.0;78;Directed;1
895.0;79;Directed;4
895.0;80;Directed;4
895.0;81;Directed;4
895.0;82;Directed;4
895.0;83;Directed;4
634.0;84;Directed;2
1128.0;85;Directed;3
1825.0;85;Directed;5
1557.0;86;Directed;1
2116.0;87;Directed;1
1467.0;88;Directed;4
;89;Directed;2
1128.0;89;Directed;11
1283.0;89;Directed;1
1825.0;89;Directed;3
2117.0;89;Directed;1
2158.0;89;Directed;6
;90;Directed;2
;90;Directed;1
1128.0;90;Directed;2
2158.0;90;Directed;1
;91;Directed;9
764.0;91;Directed;1
895.0;92;Directed;1
2011.0;92;Directed;1
2013.0;93;Directed;1
783.0;94;Directed;2
1063.0;94;Directed;2
1132.0;94;Directed;17
1286.0;94;Directed;4
1467.0;94;Directed;54
;94;Directed;2
1753.0;94;Directed;32
1825.0;94;Directed;7
1944.0;94;Directed;8
2113.0;94;Directed;16
895.0;95;Directed;1
1063.0;96;Directed;3
765.0;97;Directed;2
1749.0;98;Directed;1
666.0;99;Directed;2
1055.0;100;Directed;2
654.0;101;Directed;2
783.0;101;Directed;2
880.0;101;Directed;12
1063.0;101;Directed;2
1132.0;101;Directed;9
1286.0;101;Directed;2
1467.0;101;Directed;39
1753.0;101;Directed;16
1825.0;101;Directed;7
2113.0;101;Directed;14
1632.0;102;Directed;9
1940.0;103;Directed;1
895.0;104;Directed;1
;104;Directed;1
1601.0;104;Directed;1
1930.0;105;Directed;5
2034.0;105;Directed;2
895.0;106;Directed;4
895.0;107;Directed;4
895.0;108;Directed;4
1467.0;108;Directed;3
895.0;109;Directed;4
895.0;110;Directed;4
895.0;111;Directed;4
2011.0;111;Directed;4
895.0;112;Directed;4
895.0;113;Directed;4
895.0;114;Directed;4
1670.0;115;Directed;1
2080.0;115;Directed;1
895.0;116;Directed;4
1467.0;117;Directed;2
884.0;118;Directed;1
1601.0;118;Directed;1
1746.0;118;Directed;1
2027.0;119;Directed;1
;120;Directed;5
1632.0;121;Directed;5
1632.0;122;Directed;1
1940.0;123;Directed;6
;124;Directed;1
1944.0;124;Directed;1
1632.0;125;Directed;1
1361.0;126;Directed;3
1632.0;127;Directed;2
;128;Directed;2
1467.0;129;Directed;1
610.0;130;Directed;1
1772.0;130;Directed;1
895.0;131;Directed;4
895.0;132;Directed;4
895.0;133;Directed;4
666.0;134;Directed;1
895.0;135;Directed;4
895.0;136;Directed;4
1632.0;137;Directed;2
2013.0;138;Directed;1
1571.0;139;Directed;1
2011.0;139;Directed;5
2046.0;140;Directed;1
;141;Directed;1
1944.0;141;Directed;1
895.0;142;Directed;4
895.0;143;Directed;4
895.0;144;Directed;4
1601.0;145;Directed;2
1119.0;146;Directed;2
1670.0;146;Directed;2
1742.0;146;Directed;1
895.0;147;Directed;4
895.0;148;Directed;4
1670.0;148;Directed;1
2011.0;148;Directed;2
895.0;149;Directed;4
895.0;150;Directed;4
895.0;151;Directed;4
884.0;152;Directed;1
1361.0;152;Directed;4
1746.0;152;Directed;2
895.0;153;Directed;4
895.0;154;Directed;4
1071.0;154;Directed;5
1361.0;154;Directed;3
1571.0;155;Directed;1
895.0;156;Directed;4
1632.0;157;Directed;1
895.0;158;Directed;1
1601.0;158;Directed;1
1571.0;159;Directed;10
;160;Directed;1
;160;Directed;2
;160;Directed;2
1283.0;160;Directed;1
1825.0;160;Directed;3
2117.0;160;Directed;2
2158.0;160;Directed;12
1467.0;161;Directed;1
;161;Directed;1
1571.0;162;Directed;1
1940.0;163;Directed;5
;164;Directed;7
764.0;164;Directed;1
770.0;165;Directed;4
1243.0;165;Directed;5
1632.0;166;Directed;4
895.0;167;Directed;4
895.0;168;Directed;4
895.0;169;Directed;3
1361.0;170;Directed;4
895.0;171;Directed;4
653.0;172;Directed;1
1213.0;172;Directed;3
1601.0;172;Directed;3
1670.0;172;Directed;7
867.0;173;Directed;3
1361.0;173;Directed;4
895.0;174;Directed;4
895.0;175;Directed;4
895.0;176;Directed;4
1467.0;177;Directed;7
895.0;178;Directed;4
895.0;179;Directed;4
;180;Directed;1
1944.0;180;Directed;1
;181;Directed;5
774.0;182;Directed;4
1571.0;182;Directed;1
1601.0;182;Directed;2
2011.0;182;Directed;6
1070.0;183;Directed;1
1213.0;184;Directed;3
1467.0;184;Directed;1
1670.0;184;Directed;4
867.0;185;Directed;6
895.0;185;Directed;4
895.0;186;Directed;4
;187;Directed;5
1132.0;188;Directed;1
895.0;189;Directed;4
895.0;190;Directed;2
;191;Directed;1
1944.0;191;Directed;1
2116.0;192;Directed;1
895.0;193;Directed;3
1467.0;194;Directed;1
1557.0;195;Directed;1
2011.0;195;Directed;1
2116.0;196;Directed;1
2588.0;197;Directed;5
895.0;198;Directed;4
1361.0;198;Directed;4
1601.0;198;Directed;1
895.0;199;Directed;4
1632.0;200;Directed;8
2011.0;200;Directed;3
1601.0;201;Directed;5
895.0;202;Directed;4
1132.0;203;Directed;1
895.0;204;Directed;4
867.0;205;Directed;3
874.0;205;Directed;1
895.0;205;Directed;4
1601.0;205;Directed;1
1632.0;205;Directed;1
1071.0;206;Directed;4
1071.0;207;Directed;2
895.0;208;Directed;4
1361.0;209;Directed;4
1557.0;210;Directed;2
2027.0;211;Directed;1
;212;Directed;9
764.0;212;Directed;3
;212;Directed;1
;212;Directed;1
1467.0;213;Directed;1
1603.0;214;Directed;1
666.0;215;Directed;2
895.0;216;Directed;4
1601.0;217;Directed;2
1632.0;217;Directed;1
2011.0;217;Directed;3
895.0;218;Directed;4
895.0;219;Directed;4
1445.0;219;Directed;33
1606.0;219;Directed;1
1951.0;219;Directed;1
895.0;220;Directed;4
884.0;221;Directed;1
1746.0;221;Directed;1
895.0;222;Directed;4
895.0;223;Directed;4
895.0;224;Directed;4
895.0;225;Directed;4
895.0;226;Directed;4
2011.0;226;Directed;2
1825.0;227;Directed;4
895.0;228;Directed;3
895.0;229;Directed;4
895.0;230;Directed;4
895.0;231;Directed;4
1930.0;232;Directed;7
1930.0;233;Directed;1
;234;Directed;9
764.0;234;Directed;3
;234;Directed;1
;234;Directed;1
1670.0;235;Directed;1
2013.0;236;Directed;6
1934.0;237;Directed;1
1632.0;238;Directed;7
661.0;239;Directed;1
1467.0;240;Directed;2
1119.0;241;Directed;1
895.0;242;Directed;4
895.0;243;Directed;4
895.0;244;Directed;4
665.0;245;Directed;2
2011.0;245;Directed;2
895.0;246;Directed;4
895.0;247;Directed;4
895.0;248;Directed;4
1601.0;249;Directed;1
895.0;250;Directed;4
895.0;251;Directed;4
895.0;252;Directed;4
895.0;253;Directed;4
1601.0;254;Directed;1
1601.0;255;Directed;1
2126.0;255;Directed;1
895.0;256;Directed;4
1071.0;257;Directed;4
1601.0;257;Directed;4
884.0;258;Directed;4
1467.0;259;Directed;1
895.0;260;Directed;4
1119.0;261;Directed;1
1736.0;262;Directed;1
1940.0;263;Directed;3
1119.0;264;Directed;1
1601.0;265;Directed;1
895.0;266;Directed;4
1923.0;267;Directed;8
895.0;268;Directed;4
1298.0;269;Directed;5
666.0;270;Directed;3
902.0;270;Directed;1
1825.0;270;Directed;1
765.0;271;Directed;1
895.0;272;Directed;1
1601.0;273;Directed;1
1632.0;274;Directed;2
2013.0;275;Directed;1
654.0;276;Directed;2
880.0;276;Directed;2
1132.0;276;Directed;1
1467.0;276;Directed;2
880.0;277;Directed;2
1132.0;277;Directed;1
1753.0;277;Directed;2
1825.0;277;Directed;1
1467.0;278;Directed;3
1470.0;278;Directed;10
2013.0;278;Directed;15
;279;Directed;17
764.0;279;Directed;3
;279;Directed;1
;279;Directed;1
1934.0;280;Directed;2
;281;Directed;2
1467.0;282;Directed;1
1930.0;283;Directed;1
;284;Directed;17
764.0;284;Directed;3
;284;Directed;1
;284;Directed;1
1467.0;285;Directed;3
2027.0;285;Directed;1
1691.0;286;Directed;2
1571.0;287;Directed;1
895.0;288;Directed;4
765.0;289;Directed;1
895.0;290;Directed;4
894.0;291;Directed;1
1601.0;291;Directed;7
895.0;292;Directed;4
1601.0;292;Directed;8
2027.0;292;Directed;1
620.0;293;Directed;1
2062.0;293;Directed;1
652.0;294;Directed;3
1593.0;294;Directed;1
1911.0;294;Directed;1
1063.0;295;Directed;1
895.0;296;Directed;4
895.0;297;Directed;4
874.0;298;Directed;1
1361.0;299;Directed;2
1299.0;300;Directed;2
2053.0;301;Directed;1
